,date_of_submission,multi_country,doc_number,region_of_disaster,total_count,total_funding_provided,currency,operational_strategy
51,30-09-2024,False,MDRMH003,Marshall Islands,19532,50024,CHF,"[{'action': 'Livelihoods And Basic Needs', 'executed_in': [{'country': 'Marshall Islands', 'action_description': 'Provided essential food aid and non-food items to affected households.', 'people_reached': {'total': 225}, 'funding_used': 1203}], 'total_action_funding': 1203}, {'action': 'Water, Sanitation And Hygiene', 'executed_in': [{'country': 'Marshall Islands', 'action_description': 'Distributed clean water and jerry cans to ensure safe drinking water.', 'people_reached': {'total': 465}, 'funding_used': 3425}], 'total_action_funding': 3425}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Marshall Islands', 'action_description': 'Conducted comprehensive assessments and insured volunteers for the operation.', 'people_reached': {'total': 9}, 'funding_used': 45395}], 'total_action_funding': 45395}]"
52,2023-09-14,False,MDRMN017,Mongolia,11660,570650,CHF,"[{'action': 'Livelihoods and Basic Needs', 'executed_in': [{'country': 'Mongolia', 'action_description': 'Distribution of MPCA and Cash Grant Certificates to 3,000 households via bank transfer.', 'people_reached': {'total': 12064, 'male': 5897, 'female': 6167}, 'funding_used': 345664}], 'total_action_funding': 345664}, {'action': 'Health', 'executed_in': [{'country': 'Mongolia', 'action_description': 'Provided direct psychosocial support and MHPSS through phone consultations.', 'people_reached': {'total': 583, 'male': 218, 'female': 365}, 'funding_used': 1727}], 'total_action_funding': 1727}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Mongolia', 'action_description': 'Conducted lessons-learned workshops and IFRC-DREF training.', 'people_reached': {'total': 98}, 'funding_used': 47735}], 'total_action_funding': 47735}, {'action': 'Risk Reduction, Climate Adaptation and Recovery', 'executed_in': [{'country': 'Mongolia', 'action_description': 'Incorporated climate-smart agriculture messages on cash grant certificates.', 'people_reached': {'total': 12064}, 'funding_used': 17213}], 'total_action_funding': 17213}]"
53,30-09-2023,False,MDRMN018,"Eastern Mongolia, including Dornod, Sukhbaatar, Khentii provinces, and certain provinces in the Gobi areas",3845,337609,CHF,"[{'action': 'Shelter, Housing and Settlements', 'executed_in': [{'country': 'Mongolia', 'action_description': 'Procured and distributed gers to households whose gers were fully destroyed in the disaster.', 'people_reached': {'total': 347}, 'funding_used': 164238}], 'total_action_funding': 164238}, {'action': 'Multi Purpose Cash', 'executed_in': [{'country': 'Mongolia', 'action_description': 'Allocated multi-purpose cash assistance to address immediate living needs of affected households.', 'people_reached': {'total': 3440, 'male': 1631, 'female': 1809}, 'funding_used': 124544}], 'total_action_funding': 124544}, {'action': 'Health', 'executed_in': [{'country': 'Mongolia', 'action_description': 'Provided psychosocial support and trained volunteers in Psychological First Aid (PFA).', 'people_reached': {'total': 552}, 'funding_used': 1826}], 'total_action_funding': 1826}, {'action': 'Protection, Gender and Inclusion', 'executed_in': [{'country': 'Mongolia', 'action_description': 'Conducted child safeguarding risk analysis and integrated PGI issues into the response.', 'people_reached': {'total': 3440}}]}, {'action': 'Risk Reduction, Climate Adaptation and Recovery', 'executed_in': [{'country': 'Mongolia', 'action_description': 'Organized a lessons learnt workshop to improve future responses.', 'people_reached': {'total': 25}, 'funding_used': 4564}], 'total_action_funding': 4564}, {'action': 'Community Engagement And Accountability', 'executed_in': [{'country': 'Mongolia', 'action_description': 'Maintained communication with the target community via a dedicated hotline and feedback mechanisms.', 'people_reached': {'total': 3845}, 'funding_used': 4869}], 'total_action_funding': 4869}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Mongolia', 'action_description': 'Provided training and incentives to volunteers engaged in the operation.', 'people_reached': {'total': 210}, 'funding_used': 32243}], 'total_action_funding': 32243}]"
54,30-09-2023,False,MDRMN019,"Ulaanbaatar, Mongolia",11033,66945,CHF,"[{'action': 'Shelter Housing And Settlements', 'executed_in': [{'country': 'Mongolia', 'action_description': 'Evacuation, provision of immediate needs, psychosocial support, and shelter management.', 'people_reached': {'total': 2288}, 'funding_used': 29072}], 'total_action_funding': 29072}, {'action': 'Water, Sanitation And Hygiene', 'executed_in': [{'country': 'Mongolia', 'action_description': 'Assessment, hygiene promotion, disinfection actions, and distribution of hygiene items.', 'people_reached': {'total': 313034}, 'funding_used': 5181}], 'total_action_funding': 5181}, {'action': 'Protection, Gender And Inclusion', 'executed_in': [{'country': 'Mongolia', 'action_description': 'Child safeguarding risk analysis and ensuring inclusive and PGI-integrated approach.', 'people_reached': {'total': 1788}, 'funding_used': 0}], 'total_action_funding': 0}, {'action': 'Community Engagement And Accountability', 'executed_in': [{'country': 'Mongolia', 'action_description': 'Hotline activation, feedback desks, and media campaign on flood prevention.', 'people_reached': {'total': 173}, 'funding_used': 1151}], 'total_action_funding': 1151}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Mongolia', 'action_description': 'Mobilizing volunteers, providing incentives, and conducting Lessons Learnt Workshop.', 'people_reached': {'total': 544}, 'funding_used': 28346}], 'total_action_funding': 28346}]"
55,2022-12-25,False,MDRMY009,Malaysia,12707,500000,CHF,"[{'action': 'Health Services', 'executed_in': [{'country': 'Malaysia', 'action_description': 'MRCS conducted mobile health clinics, health screenings, referrals, and triage for COVID-19 status, reaching 2,160 people.', 'people_reached': {'total': 12707}, 'funding_used': 12114}], 'total_action_funding': 12114}, {'action': 'Multi-Purpose Cash Assistance (MPCA)', 'executed_in': [{'country': 'Malaysia', 'action_description': 'Cash assistance was transferred to 2,809 households, comprising 12,707 individuals, using bank transfers and cash in envelopes.', 'people_reached': {'total': 12707}, 'funding_used': 326633}], 'total_action_funding': 326633}, {'action': 'Water, Sanitation and Hygiene (WASH)', 'executed_in': [{'country': 'Malaysia', 'action_description': 'MRCS distributed 82,916 liters of clean water, hygiene kits to 2,800 households, and conducted hygiene promotion sessions.', 'people_reached': {'total': 12707}, 'funding_used': 80924}], 'total_action_funding': 80924}]"
56,2023-02-16,False,MDRNA013,"Ohangwena, Oshana",2190,84026,CHF,"[{'action': 'Shelter, Housing and Settlements', 'executed_in': [{'country': 'Namibia', 'action_description': 'Distribution of blankets, mosquito repellent and tarpaulins for households in camps.', 'people_reached': {'total': 561}, 'funding_used': 15373}], 'total_action_funding': 15373}, {'action': 'Water, Sanitation and Hygiene', 'executed_in': [{'country': 'Namibia', 'action_description': 'Distribution of hygiene kits, hygiene awareness sessions, and provision of water purification tablets.', 'people_reached': {'total': 561}, 'funding_used': 38187}], 'total_action_funding': 38187}, {'action': 'Health', 'executed_in': [{'country': 'Namibia', 'action_description': 'Health promotion and awareness sessions in camps.', 'people_reached': {'total': 561}, 'funding_used': 1133}], 'total_action_funding': 1133}, {'action': 'Protection, Gender and Inclusion', 'executed_in': [{'country': 'Namibia', 'action_description': 'GBV awareness sessions and safeguarding training for volunteers.', 'people_reached': {'total': 561}, 'funding_used': 567}], 'total_action_funding': 567}, {'action': 'Community Engagement and Accountability', 'executed_in': [{'country': 'Namibia', 'action_description': 'Training and deployment of volunteers for community engagement and feedback collection.', 'people_reached': {'total': 561}, 'funding_used': 4167}], 'total_action_funding': 4167}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Namibia', 'action_description': 'Capacity building for branches and volunteers.', 'people_reached': {'total': 561}, 'funding_used': 21542}], 'total_action_funding': 21542}, {'action': 'Secretariat Services', 'executed_in': [{'country': 'Namibia', 'action_description': 'Monitoring visits and support by IFRC delegation.', 'people_reached': {'total': 2}, 'funding_used': 3056}], 'total_action_funding': 3056}]"
57,2023-11-17,False,MDRNG036,Nigeria,2000000,115340,CHF,"[{'action': 'Health', 'executed_in': [{'country': 'Nigeria', 'action_description': 'Provide first aid and psychosocial support to individuals affected by election-related violence.', 'people_reached': {'total': 5172}, 'funding_used': 15316}], 'total_action_funding': 15316}, {'action': 'Risk Reduction, Climate Adaptation And Recovery', 'executed_in': [{'country': 'Nigeria', 'action_description': 'Improve coordination with external partners, establish standard operating procedures, and ensure readiness for possible scenarios.', 'people_reached': {'total': 5172}, 'funding_used': 27135}], 'total_action_funding': 27135}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Nigeria', 'action_description': 'Enhance the capacity of NRCS volunteers through training and provision of necessary resources.', 'people_reached': {'total': 327}, 'funding_used': 20}], 'total_action_funding': 20}]"
58,2023-06-13,False,MDRNP014,Nepal,707488,187496,CHF,"[{'action': 'Health', 'executed_in': [{'country': 'Nepal', 'action_description': 'Conduct health promotion activities, distribute LLINs, organize blood donation campaigns, and provide clinical management training.', 'people_reached': {'total': 352790}, 'funding_used': 119222}], 'total_action_funding': 119222}, {'action': 'Water, Sanitation And Hygiene', 'executed_in': [{'country': 'Nepal', 'action_description': ""Conduct sanitation campaigns, support government 'Search and Destroy' initiatives, and distribute sanitation kits."", 'people_reached': {'total': 707488}, 'funding_used': 32102}], 'total_action_funding': 32102}, {'action': 'Multi Purpose Cash', 'executed_in': [{'country': 'Nepal', 'action_description': 'Provide unconditional cash support to severely affected patients and their families based on socio-economic vulnerability criteria.', 'people_reached': {'total': 33}, 'funding_used': 5553}], 'total_action_funding': 5553}, {'action': 'Protection, Gender And Inclusion', 'executed_in': [{'country': 'Nepal', 'action_description': 'Prioritize households with specific vulnerabilities and conduct child safeguarding risk analysis.', 'people_reached': {'total': 330}, 'funding_used': 0}], 'total_action_funding': 0}, {'action': 'Community Engagement And Accountability', 'executed_in': [{'country': 'Nepal', 'action_description': 'Aired dengue awareness jingles, established help desks, and distributed IEC materials.', 'people_reached': {'total': 707488}, 'funding_used': 17839}], 'total_action_funding': 17839}]"
59,12-10-3,False,MDRNP015,"Sudurpashchim, Nepal",11765,172176,CHF,"[{'action': 'Shelter, Housing and Settlements', 'executed_in': [{'country': 'Nepal', 'action_description': 'Supported 1,500 families with emergency shelter items, dignity kits, and hygiene kits.', 'people_reached': {'total': 11765}, 'funding_used': 131231}], 'total_action_funding': 131231}, {'action': 'Multi-Purpose Cash Assistance', 'executed_in': [{'country': 'Nepal', 'action_description': 'Supported 600 vulnerable families with multi-purpose cash grants.', 'people_reached': {'total': 640}, 'funding_used': None}], 'total_action_funding': None}, {'action': 'Transitional Shelter Support', 'executed_in': [{'country': 'Nepal', 'action_description': 'Supported 249 vulnerable families with transitional shelter assistance.', 'people_reached': {'total': 1468}, 'funding_used': None}], 'total_action_funding': None}, {'action': 'Mental Health and Psychosocial Support (MHPSS)', 'executed_in': [{'country': 'Nepal', 'action_description': 'Supported MHPSS and referral services.', 'people_reached': {'total': None}, 'funding_used': None}], 'total_action_funding': None}, {'action': 'Water, Sanitation and Hygiene Promotion (WASH)', 'executed_in': [{'country': 'Nepal', 'action_description': 'Supported 249 households with toilets, handwashing stations, and water storage tanks.', 'people_reached': {'total': 3300, 'male': 1617, 'female': 1683}, 'funding_used': 951}], 'total_action_funding': 951}, {'action': 'Protection, Gender and Inclusion (PGI)', 'executed_in': [{'country': 'Nepal', 'action_description': 'Reached 729 individuals with violence prevention awareness sessions and distributed 1,268 dignity kits.', 'people_reached': {'total': 729}, 'funding_used': 5705}], 'total_action_funding': 5705}]"
60,05-11-2023,False,MDRPA018,Panama,13741,172535,CHF,"[{'action': 'Health', 'executed_in': [{'country': 'Panama', 'action_description': 'Providing pre-hospital care and Mental Health and Psychosocial Support Services (MHPSS) to people affected by the demonstrations.', 'people_reached': {'total': 1317}, 'funding_used': 54741}], 'total_action_funding': 54741}, {'action': 'Protection, Gender And Inclusion (PGI)', 'executed_in': [{'country': 'Panama', 'action_description': 'Distributed differentiated hygiene kits for women and provided Restoring Family Links (RFL) services.', 'people_reached': {'total': 1554}, 'funding_used': 48777}], 'total_action_funding': 48777}, {'action': 'Migration', 'executed_in': [{'country': 'Panama', 'action_description': 'Distributed snack kits and provided first aid, pre-hospital care, and Mental Health and Psychosocial Support (MHPSS) services to stranded migrants.', 'people_reached': {'total': 2350}, 'funding_used': 8520}], 'total_action_funding': 8520}, {'action': 'Community Engagement And Accountability (CEA)', 'executed_in': [{'country': 'Panama', 'action_description': 'Conducted perception surveys, created awareness campaigns, and disseminated key messages on self-care and protection.', 'people_reached': {'total': 13741}, 'funding_used': 6923}], 'total_action_funding': 6923}, {'action': 'Secretariat Services', 'executed_in': [{'country': 'Panama', 'action_description': 'Mobilized a rapid response person as security coordinator and conducted virtual follow-up.', 'funding_used': 23430}], 'total_action_funding': 23430}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Panama', 'action_description': 'Improved visibility of personnel and vehicles, insured volunteers, and conducted orientation and training workshops.', 'people_reached': {'total': 371}, 'funding_used': 30145}], 'total_action_funding': 30145}]"
61,8 December 2023,False,MDRPH051,"Region V (Bicol region), Philippines",17765,100571,CHF,"[{'action': 'Shelter, Housing and Settlements', 'executed_in': [{'country': 'Philippines', 'action_description': 'Provided essential household items to those affected by the eruption of Mayon Volcano.', 'people_reached': {'total': 7500}, 'funding_used': 46814}], 'total_action_funding': 46814}, {'action': 'Livelihoods and Basic Needs', 'executed_in': [{'country': 'Philippines', 'action_description': 'Provided hot meals to individuals displaced inside evacuation centers.', 'people_reached': {'total': 17765}, 'funding_used': 21966}], 'total_action_funding': 21966}, {'action': 'Health', 'executed_in': [{'country': 'Philippines', 'action_description': 'Ensured and protected the health of individuals staying in evacuation centers by providing mosquito nets, PPE, and psychosocial support.', 'people_reached': {'total': 7500}, 'funding_used': 17694}], 'total_action_funding': 17694}, {'action': 'Water, Sanitation and Hygiene', 'executed_in': [{'country': 'Philippines', 'action_description': 'Provided hygiene kits and conducted hygiene promotion in evacuation centers.', 'people_reached': {'total': 14923}, 'funding_used': 31062}], 'total_action_funding': 31062}, {'action': 'Protection, Gender and Inclusion', 'executed_in': [{'country': 'Philippines', 'action_description': 'Integrated protection, gender equality, and inclusion in all activities and established child-friendly spaces.', 'people_reached': {'total': 17765}, 'funding_used': 5103}], 'total_action_funding': 5103}, {'action': 'Community Engagement and Accountability', 'executed_in': [{'country': 'Philippines', 'action_description': 'Established feedback desks in evacuation areas to collect and respond to community feedback.', 'people_reached': {'total': 14923}}], 'total_action_funding': 0}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Philippines', 'action_description': 'Conducted lessons learned workshop and ensured volunteers were insured.', 'people_reached': {'total': 100}, 'funding_used': 14741}], 'total_action_funding': 14741}]"
62,29-02-2024,False,MDRPH052,Philippines,57315,271035,CHF,"[{'action': 'Shelter, Housing and Settlements', 'executed_in': [{'country': 'Philippines', 'action_description': 'Provided essential household items and emergency shelter support to families affected by Typhoon Egay.', 'people_reached': {'total': 5875}, 'funding_used': 127019}], 'total_action_funding': 127019}, {'action': 'Livelihoods and Basic Needs', 'executed_in': [{'country': 'Philippines', 'action_description': 'Provided hot meals to displaced individuals in evacuation centers.', 'people_reached': {'total': 5818}, 'funding_used': 27868}], 'total_action_funding': 27868}, {'action': 'Health', 'executed_in': [{'country': 'Philippines', 'action_description': 'Distributed mosquito nets, provided health services, and psychosocial support.', 'people_reached': {'total': 6962}, 'funding_used': 24788}], 'total_action_funding': 24788}, {'action': 'Water, Sanitation and Hygiene', 'executed_in': [{'country': 'Philippines', 'action_description': 'Distributed hygiene kits and jerry cans, provided safe drinking water and hygiene promotion.', 'people_reached': {'total': 57115}, 'funding_used': 61195}], 'total_action_funding': 61195}, {'action': 'Protection, Gender and Inclusion', 'executed_in': [{'country': 'Philippines', 'action_description': 'Conducted child-friendly activities and provided PGI orientation.', 'people_reached': {'total': 57115}, 'funding_used': 4766}], 'total_action_funding': 4766}, {'action': 'Community Engagement and Accountability', 'executed_in': [{'country': 'Philippines', 'action_description': 'Engaged community members in feedback mechanisms and provided information.', 'people_reached': {'total': 57115}, 'funding_used': 3628}], 'total_action_funding': 3628}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Philippines', 'action_description': 'Insured volunteers and conducted lessons learned workshops.', 'people_reached': {'total': 57115}, 'funding_used': 13785}], 'total_action_funding': 13785}]"
63,2023-03-16,False,MDRPY022,"Concepcion, Paraguay",3450,181083,CHF,"[{'action': 'Health', 'executed_in': [{'country': 'Paraguay', 'action_description': 'Health-related actions including first aid, health promotion, and psychosocial support for flood-affected communities.', 'people_reached': {'total': 4672}, 'funding_used': 6390}], 'total_action_funding': 6390}, {'action': 'Multi-purpose Cash', 'executed_in': [{'country': 'Paraguay', 'action_description': 'Cash transfer program to support families with basic needs such as food, hygiene, and replacement of household goods.', 'people_reached': {'total': 1320}, 'funding_used': 115116}], 'total_action_funding': 115116}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Paraguay', 'action_description': 'Hiring of local professionals and conducting lessons-learned workshops to strengthen operational capacity.', 'funding_used': 29181}], 'total_action_funding': 29181}, {'action': 'Water, Sanitation and Hygiene', 'executed_in': [{'country': 'Paraguay', 'action_description': 'Distribution of water filters and educational sessions on hygiene practices and water management.', 'people_reached': {'total': 4761}, 'funding_used': 18386}], 'total_action_funding': 18386}]"
64,2023-06-16,False,MDRRS015,Serbia,8330,312141,CHF,"[{'action': 'Shelter Housing And Settlements', 'executed_in': [{'country': 'Serbia', 'action_description': 'Flooded households were assisted with water drainage, household cleaning and disinfection, as well as wall draining at the end of August.', 'people_reached': {'total': 1422}, 'funding_used': 36386}], 'total_action_funding': 36386}, {'action': 'Livelihoods And Basic Needs', 'executed_in': [{'country': 'Serbia', 'action_description': 'Distribution of food canned parcels and family food parcels was completed at the end of June and July, providing immediate assistance to those in need.', 'people_reached': {'total': 1606}, 'funding_used': 41744}], 'total_action_funding': 41744}, {'action': 'Multi Purpose Cash', 'executed_in': [{'country': 'Serbia', 'action_description': 'Provided cash assistance for the most vulnerable affected households. Cash distribution was completed by the end of December.', 'people_reached': {'total': 845}, 'funding_used': 89662}], 'total_action_funding': 89662}, {'action': 'Health', 'executed_in': [{'country': 'Serbia', 'action_description': 'Implementation of Psychological First Aid (PFA) and Psychosocial Support (PSS) activities has been successfully provided to affected populations as well as to staff and volunteers.', 'people_reached': {'total': 6110}, 'funding_used': 8499}], 'total_action_funding': 8499}, {'action': 'Water, Sanitation And Hygiene', 'executed_in': [{'country': 'Serbia', 'action_description': 'Distributed disinfectant liquid and hygiene parcels to improve hygiene conditions in the communities. Conducted Post Distribution Monitoring (PDM) to assess impact.', 'people_reached': {'total': 8728}, 'funding_used': 42881}], 'total_action_funding': 42881}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Serbia', 'action_description': 'Distributed personal protective equipment (PPE) for staff and volunteers. Conducted training sessions on communication in disaster.', 'people_reached': {'total': 385}, 'funding_used': 92969}], 'total_action_funding': 92969}]"
65,31-10-2023,False,MDRRW022,"Western, Northern, and Southern provinces of Rwanda",48680,499957,CHF,"[{'action': 'Shelter, Housing and Settlements', 'executed_in': [{'country': 'Rwanda', 'action_description': 'Provision of cash to purchase shelter tools and construction materials to 400 HHs engaged in the repairs of their houses.', 'people_reached': {'total': 10425, 'male': 4761, 'female': 5664}, 'funding_used': 167159}], 'total_action_funding': 167159}, {'action': 'Livelihoods and Basic Needs', 'executed_in': [{'country': 'Rwanda', 'action_description': ""Supporting vulnerable households and women's associations with cash for food and livelihood assistance."", 'people_reached': {'total': 8185, 'male': 3912, 'female': 4273}, 'funding_used': 88005}], 'total_action_funding': 88005}, {'action': 'Health', 'executed_in': [{'country': 'Rwanda', 'action_description': 'Conducted search and rescue operations, provided psychosocial support, and administered first aid to the injured.', 'people_reached': {'total': 48680, 'male': 23265, 'female': 25415}, 'funding_used': 38522}], 'total_action_funding': 38522}, {'action': 'Water, Sanitation and Hygiene', 'executed_in': [{'country': 'Rwanda', 'action_description': 'Hygiene and sanitation promotion sessions, distribution of water treatment tablets and WASH kits.', 'people_reached': {'total': 48680, 'male': 23265, 'female': 25415}, 'funding_used': 81274}], 'total_action_funding': 81274}, {'action': 'Protection, Gender and Inclusion', 'executed_in': [{'country': 'Rwanda', 'action_description': 'Training volunteers on PGI and PSEA during emergencies.', 'people_reached': {'total': 48680, 'male': 23265, 'female': 25415}, 'funding_used': 1178}], 'total_action_funding': 1178}, {'action': 'Community Engagement and Accountability', 'executed_in': [{'country': 'Rwanda', 'action_description': 'Community engagement began early in the assessment phase, incorporating community voices into the planning process.', 'people_reached': {'total': 48680, 'male': 23265, 'female': 25415}, 'funding_used': 5258}], 'total_action_funding': 5258}, {'action': 'Secretariat Services', 'executed_in': [{'country': 'Rwanda', 'action_description': 'Coordination meetings and joint monitoring missions were carried out during implementation.', 'people_reached': {'total': 430}, 'funding_used': 7993}], 'total_action_funding': 7993}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Rwanda', 'action_description': 'Conducting meetings with teams and branches, followed by meetings with the PNS, the Ministry in charge of Emergency Management, IFRC, and ICRC.', 'people_reached': {'total': 330}, 'funding_used': 110566}], 'total_action_funding': 110566}]"
66,2023-11-01,False,MDRSL014,"Western Rural District, Sierra Leone",938,139996,CHF,"[{'action': 'Shelter, Housing and Settlements', 'executed_in': [{'country': 'Sierra Leone', 'action_description': 'Provide immediate basic assistance for shelter reconstruction and rent support.', 'people_reached': {'total': 938}, 'funding_used': 69686}], 'total_action_funding': 69686}, {'action': 'Livelihoods and Basic Needs', 'executed_in': [{'country': 'Sierra Leone', 'action_description': 'Provide cash assistance to restore livelihoods and support businesses.', 'people_reached': {'total': 938}, 'funding_used': 16135}], 'total_action_funding': 16135}, {'action': 'Multi-purpose Cash', 'executed_in': [{'country': 'Sierra Leone', 'action_description': 'Provide unconditional cash transfers to meet medical and basic needs.', 'people_reached': {'total': 875}, 'funding_used': 9412}], 'total_action_funding': 9412}, {'action': 'Health', 'executed_in': [{'country': 'Sierra Leone', 'action_description': 'Provide psychosocial support, first aid, and health services.', 'people_reached': {'total': 938}, 'funding_used': 5109}], 'total_action_funding': 5109}, {'action': 'Water, Sanitation and Hygiene', 'executed_in': [{'country': 'Sierra Leone', 'action_description': 'Provide dignity kits and promote hygiene and sanitation practices.', 'people_reached': {'total': 938}, 'funding_used': 18233}], 'total_action_funding': 18233}, {'action': 'Education', 'executed_in': [{'country': 'Sierra Leone', 'action_description': 'Provide educational materials to school children affected by the disaster.', 'people_reached': {'total': 158}, 'funding_used': 8414}], 'total_action_funding': 8414}, {'action': 'Community Engagement and Accountability', 'executed_in': [{'country': 'Sierra Leone', 'action_description': 'Engage community in fire prevention awareness and feedback mechanisms.', 'people_reached': {'total': 938}, 'funding_used': 5831}], 'total_action_funding': 5831}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Sierra Leone', 'action_description': 'Train and deploy volunteers, provide protective gear and visibility items.', 'people_reached': {'total': 43}, 'funding_used': 5298}], 'total_action_funding': 5298}]"
67,03/Sep/2024,False,MDRSL015,Sierra Leone,75000,172004,CHF,"[{'action': 'Health', 'executed_in': [{'country': 'Sierra Leone', 'action_description': 'Provision of first aid, medical evacuation, ambulance services, and psychological support.', 'people_reached': {'total': 15000}, 'funding_used': 52393}], 'total_action_funding': 52393}, {'action': 'Protection, Gender and Inclusion', 'executed_in': [{'country': 'Sierra Leone', 'action_description': 'Training of volunteers on protection, gender, inclusion, and safe referral procedures.', 'people_reached': {'total': 75000}, 'funding_used': 9665}], 'total_action_funding': 9665}, {'action': 'Community Engagement and Accountability', 'executed_in': [{'country': 'Sierra Leone', 'action_description': 'Dissemination of information on Red Cross activities, monitoring of community feedback, and rumor management.', 'people_reached': {'total': 75000}, 'funding_used': 2237}], 'total_action_funding': 2237}, {'action': 'Secretariat Services', 'executed_in': [{'country': 'Sierra Leone', 'action_description': 'Coordination and support for SLRCS activities, including security and situation monitoring.', 'people_reached': {'total': 363}, 'funding_used': 7402}], 'total_action_funding': 7402}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Sierra Leone', 'action_description': 'Training and deployment of volunteers, procurement of protective equipment, and prepositioning of essential supplies.', 'people_reached': {'total': 363}, 'funding_used': 100309}], 'total_action_funding': 100309}]"
68,2023-07-31,False,MDRSO015,"Sool Region, Somalia",10266,500587,CHF,"[{'action': 'Shelter, Housing and Settlements', 'executed_in': [{'country': 'Somalia', 'action_description': 'Provide emergency shelter, essential household items, and practical training for safe shelter construction.', 'people_reached': {'total': 10200}, 'funding_used': 104929}], 'total_action_funding': 104929}, {'action': 'Multi-purpose Cash', 'executed_in': [{'country': 'Somalia', 'action_description': 'Unconditional cash transfers to cover urgent needs through mobile money cash modality.', 'people_reached': {'total': 10266}, 'funding_used': 200431}], 'total_action_funding': 200431}, {'action': 'Health', 'executed_in': [{'country': 'Somalia', 'action_description': 'Health promotion awareness sessions, mosquito nets distribution, hygiene and health promotion sessions.', 'people_reached': {'total': 10200}, 'funding_used': 73372}], 'total_action_funding': 73372}, {'action': 'Water, Sanitation, and Hygiene (WASH)', 'executed_in': [{'country': 'Somalia', 'action_description': 'Distribution of aqua tabs, hygiene kits, dignity kits, and training on safe water storage and use.', 'people_reached': {'total': 23094}, 'funding_used': 98588}], 'total_action_funding': 98588}, {'action': 'Protection, Gender, and Inclusion (PGI)', 'executed_in': [{'country': 'Somalia', 'action_description': 'Mainstream PGI in all sectors, provide dignity kits, and sensitize on SGBV awareness and referral pathways.', 'people_reached': {'total': 2500}, 'funding_used': 833}], 'total_action_funding': 833}, {'action': 'Community Engagement and Accountability (CEA)', 'executed_in': [{'country': 'Somalia', 'action_description': 'Ensure community feedback is addressed through short toll numbers and Kobo Collect tool.', 'people_reached': {'total': 9500}, 'funding_used': 2942}], 'total_action_funding': 2942}, {'action': 'National Society Strengthening', 'executed_in': [{'country': 'Somalia', 'action_description': 'Brief staff and volunteers on roles and responsibilities, risks, and ensure insurance coverage.', 'people_reached': {'total': 300}, 'funding_used': 5883}], 'total_action_funding': 5883}]"
69,25/Oct/2024,True,MDRSO016,Somalia,41945,611685,CHF,"[{'action': 'Shelter, Housing and Settlements', 'executed_in': [{'country': 'Somaliland', 'action_description': 'Distributed Shelter NFI kits to vulnerable people affected by El Niño flash floods.', 'people_reached': {'total': 14400}, 'funding_used': 107856}, {'country': 'Puntland', 'action_description': 'Distributed Shelter NFI kits to vulnerable people affected by El Niño flash floods.', 'people_reached': {'total': 14400}, 'funding_used': 107856}], 'total_action_funding': 128063}, {'action': 'Multi-purpose Cash', 'executed_in': [{'country': 'Somaliland', 'action_description': 'Distributed unconditional cash transfers to the most vulnerable households affected by the El Nino flash floods.', 'people_reached': {'total': 6540}, 'funding_used': 131293}, {'country': 'Puntland', 'action_description': 'Distributed unconditional cash transfers to the most vulnerable households affected by the El Nino flash floods.', 'people_reached': {'total': 6540}, 'funding_used': 131293}], 'total_action_funding': 133021}, {'action': 'Health', 'executed_in': [{'country': 'Somaliland', 'action_description': 'Conducted search and rescue, provided first aid, facilitated health promotion sessions, offered psychosocial support, and distributed treated mosquito nets.', 'people_reached': {'total': 41945}, 'funding_used': 114880}, {'country': 'Puntland', 'action_description': 'Conducted search and rescue, provided first aid, facilitated health promotion sessions, offered psychosocial support, and distributed treated mosquito nets.', 'people_reached': {'total': 41945}, 'funding_used': 114880}], 'total_action_funding': 144325}, {'action': 'Water, Sanitation and Hygiene', 'executed_in': [{'country': 'Somaliland', 'action_description': 'Distributed Aqua tabs for water treatment and conducted hygiene promotion and awareness campaigns.', 'people_reached': {'total': 58885}, 'funding_used': 137323}, {'country': 'Puntland', 'action_description': 'Distributed Aqua tabs for water treatment and conducted hygiene promotion and awareness campaigns.', 'people_reached': {'total': 58885}, 'funding_used': 137323}], 'total_action_funding': 86133}, {'action': 'Protection, Gender and Inclusion', 'executed_in': [{'country': 'Somaliland', 'action_description': 'Integrated PGI considerations across all sectors, with special attention to gender, age, and disability to minimize stigma, discrimination, and additional risks.', 'people_reached': {'total': 6600}, 'funding_used': 7956}, {'country': 'Puntland', 'action_description': 'Integrated PGI considerations across all sectors, with special attention to gender, age, and disability to minimize stigma, discrimination, and additional risks.', 'people_reached': {'total': 6600}, 'funding_used': 7956}], 'total_action_funding': 8927}]"
